Team,Winrate,Elo,International Elo,LAN Winrate,K/D Ratio,Average Damage,Average Combat Score,Average First Kills,Average First Deaths Per Round,Rating,KAST,Clutch Success,Image Path,Region,id
100 Thieves,80.0,1751.541089008382,1639.7251231072673,100.0,1.098390577465046,128.12717446052972,196.46784179514444,3.1000388841178315,0.9401633775337722,1.0197902813560709,71.96176924440083,39.5304834054834,/static/logos/100-thieves-logo.png,AMER,1
2Game Esports,13.333333333333334,1330.212880612925,1456.4363921795077,0.0,0.8966026658526659,123.47973137973138,186.68484940984942,3.277197802197802,0.1108560236060236,0.8707026862026862,66.80861823361823,34.6500992063492,/static/logos/2game-esports-logo.png,AMER,2
A Team,0.0,1450.4307625328777,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/a-team-logo.png,CN,3
Acend,77.77777777777779,1589.699205723148,1589.699205723148,81.18811881188118,1.046489449548273,125.16436156436157,192.43210079680668,3.3419260478084007,0.09632027667321785,1.0135365375365375,71.89036671389613,17.73363812113812,/static/logos/acend-logo.png,EMEA,4
All Gamers,46.666666666666664,1461.9347311820814,1478.068993288668,41.836734693877546,1.0563621295298133,125.26091109954233,197.49861943249198,3.014128402461736,0.8579798306687447,0.9779780866653038,71.2263759242266,33.654761904761905,/static/logos/all-gamers-logo.png,CN,5
Apeks,0.0,1296.7028949126218,1451.8157687282296,0.0,0.8674456361312979,120.05256172204702,182.61723018267136,3.3349131396925515,0.11051959022731082,0.8827019016522692,67.85001737777473,28.069642857142856,/static/logos/apeks-logo.png,EMEA,6
BBL Esports,46.666666666666664,1591.9203417115425,1542.143570534719,40.59405940594059,1.0357830416537057,132.19327635327636,200.24669108669107,5.144843304843305,4.210944403744404,1.0163566951566951,70.78732600732602,26.777777777777775,/static/logos/bbl-esports-logo.png,EMEA,7
BESTIA,33.33333333333333,1483.9562626742288,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/bestia-logo.png,AMER,8
BOOM Esports,40.0,1405.666393840268,1456.589980704003,21.153846153846153,1.0176361790170614,128.44230646804175,197.4967491441021,3.5273165124635715,0.09897027699968876,0.9764358663667487,71.20082732082732,29.340064935064937,/static/logos/boom-esports-logo.png,Pacific,9
Bilibili Gaming,60.0,1537.4088284642664,1393.6558462367495,18.81188118811881,1.0308724374882243,127.01882615750263,193.72090098898923,3.471317903229668,0.3802355554032024,0.9975744093052916,71.39201549539784,24.11904761904762,/static/logos/bilibili-gaming-logo.png,CN,10
Cloud9,46.666666666666664,1500.1805680961586,1494.4335088823339,38.31775700934579,0.9891646323963155,124.29338356632474,189.58698723934017,3.043836142071436,0.6086532354355884,0.9571626536861831,71.48262212732801,29.582539682539682,/static/logos/cloud9-logo.png,AMER,11
Crazy Raccoon,16.666666666666664,1425.20618597298,1425.20618597298,20.0,0.7684800384800385,114.63864838864839,171.40957190957192,2.3767436267436266,0.11503066378066379,0.7831535594035595,60.69276094276094,13.505291005291005,/static/logos/crazy-raccoon-logo.png,Pacific,12
DRX,53.333333333333336,1613.5067660407326,1603.862372767237,59.4059405940594,1.039351467051467,123.8449494949495,188.47492063492064,3.9235353535353537,0.09553602693602695,0.9893400192400194,70.9493746993747,34.634778911564624,/static/logos/drx-logo.png,Pacific,13
DetonatioN FocusMe,46.666666666666664,1508.359616812194,1500.0,50.0,1.001167110588141,128.36479374655843,198.30538724891667,3.2862704397998517,0.5896946012593072,0.9679733845675021,69.99652661064425,35.42040816326531,/static/logos/detonation-focusme-logo.png,Pacific,14
